Name, Invalid, Acoat, Glow Time, Glow Pressure, Hydro Front Time, Hydro Back Time, Overcoat Time, Total Steps, Is Red
FUSION TDN  A, OFF, A11, 0, 0, 12, 11, 0, 5, OFF
FUSION TDN  A  .09, OFF, A9, 0, 0, 9, 11, 0, 5, OFF
CAL GRN AR, OFF, , 0, 0, 0, 0, 0, 5, OFF
DIGITAL EYE STRAIN   D, OFF, D, 0, 50, 12, 9, 0, 7, OFF
DIGITAL EYE NO HIDRO, OFF, , 0, 50, 0, 0, 0, 7, OFF
BLUE VIOLET  1, OFF, 1, 0, 3, 12, 11, 0, 12, OFF
SILVER FLASH-cobalt uvar, OFF, 2, 0, 3, 12, 11, 0, 7, OFF
HARVEST GOLD NEW  3, OFF, 3, 0, 0, 12, 0, 0, 6, OFF
FIRE MIRROR  4, OFF, 4, 0, 3, 11, 11, 0, 12, OFF
CANARY YELLOW  6, OFF, 6, 0, 0, 12, 0, 0, 6, OFF
FUSION TDN GLASS, OFF, , 0, 0, 10, 10, 0, 5, OFF
GOLD UV AR, OFF, , 0, 3, 9, 9, 0, 5, OFF
COND ALL, OFF, MSL, 0, 0, 0, 0, 0, 7, OFF
CHROME MIRROR WC  2, OFF, 2, 0, 3, 9, 11, 0, 7, OFF
CHROME MIRROR FT ONLY, OFF, 2, 0, 3, 11, 0, 0, 2, OFF
SILVER MIR-cobalt uvar, OFF, , 0, 3, 9, 9, 0, 7, OFF
DENIM BLUE-cobalt uvar, OFF, , 0, 3, 9, 9, 0, 11, OFF
FUSION TDN FRONT ONLY, OFF, , 0, 0, 11, 0, 0, 5, OFF
FUSION TDN BACK ONLY, OFF, , 0, 0, 0, 11, 0, 5, OFF
BLUE VIOLET  1 FRT ONLY, OFF, 1, 0, 3, 12, 0, 0, 8, OFF
SILVER FLASH-FT NO HYDRO, OFF, 2, 0, 3, 0, 0, 0, 2, OFF
FIRE MIRROR  FRT ONLY, OFF, 4, 0, 3, 11, 0, 0, 7, OFF
INFRARED MIRROR 2, OFF, , 0, 3, 9, 0, 0, 7, OFF
INFRARED MIRROR, OFF, , 0, 3, 9, 0, 0, 7, OFF
NATURAL AR, OFF, , 0, 50, 9, 0, 0, 5, OFF
PINK ROSE, OFF, , 0, 0, 0, 0, 0, 7, OFF
PURPLE PASION, OFF, , 0, 0, 9, 0, 0, 8, OFF
ROSE LIGHT ??, ON, , 0, 0, 0, 0, 0, 8, OFF
CANARY YELLOW, OFF, 0, 0, 0, 9, 0, 0, 6, OFF
RED ORANGE, OFF, , 0, 0, 9, 0, 0, 5, OFF
MIDNIGHT BLUE, OFF, , 0, 0, 9, 0, 0, 5, OFF
