DateTime, PowerF, PowerF_1, PowerF_2, PowerB, PowerB_1, PowerB_2, TimeF, TimeF_1, TimeF_2, TimeB, TimeB_1, TimeB_2
12/16/2014 14:54:23, 000, 980, 150, 000, 935, 970, 100, 096, 100, 100, 100, 100
12/16/2014 15:27:13, 000, 990, 160, 000, 925, 960, 100, 096, 100, 100, 100, 100
12/17/2014 10:05:37, 000, 000, 170, 000, 945, 980, 100, 096, 100, 100, 100, 100
12/17/2014 10:15:33, 000, 010, 180, 000, 955, 990, 100, 096, 100, 100, 100, 100
12/17/2014 13:17:30, 000, 030, 200, 000, 955, 990, 100, 096, 100, 100, 100, 100
12/18/2014 17:51:42, 000, 025, 195, 000, 965, 000, 100, 096, 100, 100, 100, 100
12/19/2014 10:54:08, 000, 995, 155, 000, 940, 975, 100, 096, 100, 100, 100, 100
12/19/2014 11:11:27, 000, 960, 135, 000, 940, 975, 100, 096, 100, 100, 100, 100
12/19/2014 14:05:28, 000, 990, 165, 000, 960, 995, 100, 096, 100, 100, 100, 100
12/19/2014 14:23:18, 000, 010, 185, 000, 970, 005, 100, 096, 100, 100, 100, 100
12/19/2014 17:45:34, 000, 025, 200, 000, 980, 015, 100, 096, 100, 100, 100, 100
12/20/2014 12:44:06, 000, 025, 200, 000, 970, 005, 100, 096, 100, 100, 100, 100
12/22/2014 17:17:34, 000, 960, 180, 000, 940, 975, 100, 096, 100, 100, 100, 100
12/23/2014 13:46:53, 000, 995, 215, 000, 950, 985, 100, 096, 100, 100, 100, 100
12/23/2014 13:59:14, 000, 005, 225, 000, 950, 985, 100, 096, 100, 100, 100, 100
12/23/2014 14:09:39, 000, 015, 235, 000, 955, 990, 100, 096, 100, 100, 100, 100
12/24/2014 13:35:25, 000, 000, 220, 000, 930, 965, 100, 096, 100, 100, 100, 100
12/26/2014 14:42:28, 000, 010, 230, 000, 945, 980, 100, 096, 100, 100, 100, 100
12/26/2014 14:57:57, 000, 020, 240, 000, 950, 985, 100, 096, 100, 100, 100, 100
12/26/2014 17:16:49, 000, 020, 240, 000, 965, 000, 100, 096, 100, 100, 100, 100
12/27/2014 13:07:05, 000, 025, 245, 000, 955, 990, 100, 096, 100, 100, 100, 100
12/29/2014 12:29:48, 000, 975, 205, 000, 945, 980, 100, 096, 100, 100, 100, 100
12/29/2014 12:55:47, 000, 960, 190, 000, 945, 980, 100, 096, 100, 100, 100, 100
12/30/2014 15:23:37, 000, 950, 180, 000, 945, 980, 100, 096, 100, 100, 100, 100
