Name, Date
FIRE MIRROR  4, 02/06/2015 13:41:26
FUSION TDN  A, 02/06/2015 13:14:46
FUSION TDN  A, 02/06/2015 13:11:17
FUSION TDN  A, 02/06/2015 13:08:24
FUSION TDN  A, 02/06/2015 13:08:07
CAL GRN AR, 02/06/2015 12:58:33
LO INDEX MONO   F   B, 02/06/2015 12:38:37
HI INDEX MONO   F   B, 02/06/2015 12:38:01
CAL GRN AR, 02/06/2015 12:27:48
CAL GRN AR, 02/06/2015 12:16:34
CAL GRN AR, 02/06/2015 11:32:54
COND ALL, 02/06/2015 11:32:08
FUSION TDN  A, 02/05/2015 16:07:45
FUSION TDN  A, 02/05/2015 16:06:33
FUSION TDN  A, 02/05/2015 15:58:08
FUSION TDN  A, 02/05/2015 15:57:34
FUSION TDN  A, 02/05/2015 15:49:40
FUSION TDN  A, 02/05/2015 15:49:23
FUSION TDN  A, 02/05/2015 15:37:13
FUSION TDN  A, 02/05/2015 15:36:56
FUSION TDN  A, 02/05/2015 15:27:38
FUSION TDN  A, 02/05/2015 15:23:03
FUSION TDN  A, 02/05/2015 15:12:32
FUSION TDN  A, 02/05/2015 15:10:41
FUSION TDN  A, 02/05/2015 15:00:34
FUSION TDN  A, 02/05/2015 14:57:10
FUSION TDN  A, 02/05/2015 14:52:43
FUSION TDN  A, 02/05/2015 14:51:34
FUSION TDN  A, 02/05/2015 14:45:43
FUSION TDN  A, 02/05/2015 14:43:46
FUSION TDN  A, 02/05/2015 14:26:24
FUSION TDN  A, 02/05/2015 14:25:44
FUSION TDN  A, 02/05/2015 14:19:10
FUSION TDN  A, 02/05/2015 14:17:43
FUSION TDN  A, 02/05/2015 14:06:26
FUSION TDN  A, 02/05/2015 14:05:45
CAL GRN AR, 02/05/2015 13:50:40
CAL GRN AR, 02/05/2015 13:28:47
COND ALL, 02/05/2015 13:28:31
FUSION TDN  A, 02/04/2015 17:22:17
FUSION TDN  A, 02/04/2015 17:21:42
FUSION TDN  A, 02/04/2015 16:10:43
FUSION TDN  A, 02/04/2015 16:10:25
FUSION TDN  A, 02/04/2015 15:58:30
FUSION TDN  A, 02/04/2015 15:57:13
CAL GRN AR, 02/04/2015 15:24:04
COND ALL, 02/04/2015 15:23:42
FUSION TDN  A, 02/03/2015 17:02:18
FUSION TDN  A, 02/03/2015 17:00:35
FUSION TDN  A, 02/03/2015 16:33:54
FUSION TDN  A, 02/03/2015 16:33:36
CAL GRN AR, 02/03/2015 16:03:58
CAL GRN AR, 02/03/2015 15:47:03
DIGITAL EYE STRAIN   D, 02/03/2015 15:30:55
DIGITAL EYE STRAIN   D, 02/03/2015 15:30:24
FUSION TDN  A, 02/03/2015 15:17:44
FUSION TDN  A, 02/03/2015 15:15:08
CAL GRN AR, 02/03/2015 14:44:46
COND ALL, 02/03/2015 14:44:27
FUSION TDN  A, 01/31/2015 15:06:18
FUSION TDN  A, 01/31/2015 15:05:25
FUSION TDN  A, 01/31/2015 14:56:45
FUSION TDN  A, 01/31/2015 14:55:43
CAL GRN AR, 01/31/2015 14:42:35
CAL GRN AR, 01/31/2015 14:27:00
COND ALL, 01/31/2015 14:26:44
FUSION TDN  A, 01/29/2015 17:19:49
FUSION TDN  A, 01/29/2015 17:19:17
CAL GRN AR, 01/29/2015 17:02:59
CAL GRN AR, 01/29/2015 15:22:26
CAL GRN AR, 01/29/2015 15:07:39
LO INDEX MONO   F   B, 01/29/2015 14:28:39
HI INDEX MONO   F   B, 01/29/2015 14:28:21
LO INDEX MONO   B, 01/29/2015 11:37:43
LO INDEX MONO   F, 01/29/2015 11:32:56
COND ALL, 01/29/2015 11:32:33
LO INDEX MONO   F   B, 01/28/2015 19:49:49
LO INDEX MONO   F   B, 01/28/2015 19:06:57
COND ALL, 01/28/2015 19:06:38
LO INDEX MONO   F   B, 01/28/2015 13:25:15
COND ALL, 01/28/2015 13:24:36
COND ALL, 01/28/2015 13:03:18
COND ALL, 01/28/2015 13:02:49
CAL GRN AR, 01/27/2015 20:41:07
LO INDEX MONO   F   B, 01/27/2015 20:24:50
HI INDEX MONO   F   B, 01/27/2015 20:24:14
LO INDEX MONO   F   B, 01/27/2015 20:07:30
CAL GRN AR, 01/27/2015 20:07:12
COND ALL, 01/27/2015 20:06:55
CAL GRN AR, 01/27/2015 19:50:47
COND ALL, 01/27/2015 19:45:16
CAL GRN AR, 01/27/2015 12:15:06
CAL GRN AR, 01/27/2015 12:03:54
CAL GRN AR, 01/27/2015 11:40:20
LO INDEX MONO   F   B, 01/27/2015 11:25:43
CAL GRN AR, 01/27/2015 11:25:02
CAL GRN AR, 01/27/2015 11:13:34
CAL GRN AR, 01/27/2015 10:48:01
CAL GRN AR, 01/27/2015 10:34:28
LO INDEX MONO   B, 01/27/2015 10:17:39
