Date, Turbo On, Water Chiller Run Time, Glow/Hydro RP On, Dep RP On, DEP Motor Run Time, Rotation Motor O-ring, Glow Hydro RP Oil Life, DEP Rough Pump Oil Life, FS Chrome Target Life, FS Low Index Target Life, FS High Index Target Life, BS Chrome Target Life, BS Low Index Target Life, BS High Index Target Life, Lens Count, Lens Count Setpoint
, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
3/5/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
3/6/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
3/7/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
3/8/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
3/9/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
3/10/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
3/11/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
3/12/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
3/13/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
3/14/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
3/15/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
3/16/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
3/17/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
3/18/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
3/19/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
3/20/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
3/21/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
3/22/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
3/23/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
3/24/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
3/25/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
3/26/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
3/27/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
3/28/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
3/29/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
3/30/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
3/31/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
4/1/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
4/2/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
4/3/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
4/4/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
4/5/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
4/6/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
4/7/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
4/8/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
4/9/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
4/10/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
4/11/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
4/12/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
4/13/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
4/14/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
4/15/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
4/16/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
4/17/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
4/18/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
4/19/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
4/20/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
4/21/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
4/22/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
4/23/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
4/24/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
4/25/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
4/26/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
4/27/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
4/28/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
4/29/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
4/30/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
5/1/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
5/2/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
5/3/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
5/4/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
5/5/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
5/6/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
5/7/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
5/8/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
5/9/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
5/10/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
5/11/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
5/12/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
5/13/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
5/14/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
5/15/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
5/16/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
5/17/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
5/18/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
5/19/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
5/20/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
5/21/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
5/22/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
5/23/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
5/24/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
5/25/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
5/26/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
